station,epoch,unit,component,group,loss_n,loss_mean,loss_median,loss_min,loss_max,grad_norm_n,grad_norm_mean,grad_norm_median,grad_norm_min,grad_norm_max,ratio_base_n,ratio_base_mean,ratio_base_median,ratio_base_min,ratio_base_max,ratio_dual_base_n,ratio_dual_base_mean,ratio_dual_base_median,ratio_dual_base_min,ratio_dual_base_max,cosine_base_n,cosine_base_mean,cosine_base_median,cosine_base_min,cosine_base_max,cosine_dual_base_n,cosine_dual_base_mean,cosine_dual_base_median,cosine_dual_base_min,cosine_dual_base_max
CBBT,5,batch,excess,full,16,0.00047181346053548623,0.0005184330802876502,0.00014507438754662871,0.0008454063790850341,16,0.00036014635942671863,0.00040751947328065974,0.00010257103000560953,0.0005662938354852316,16,0.00183540040814963,0.0021249186191896136,0.00047506983214226986,0.002891840820528316,16,0.0009108919731472715,0.0010543382331130121,0.0002371894622065406,0.0014334634718731235,16,-0.019832525260882528,-0.018508641920179238,-0.02853795255243564,-0.01308953805218166,16,-0.017773538093023282,-0.01606716644606423,-0.02779347778897595,-0.010642386091182126
CBBT,5,batch,excess,shared,16,0.00047181346053548623,0.0005184330802876502,0.00014507438754662871,0.0008454063790850341,16,2.4792821659790563e-05,2.8468142183077587e-05,7.940240913508893e-06,3.828013175235074e-05,16,0.00015630045002648865,0.00018627217204187456,4.5420682770276374e-05,0.00023797663061709122,16,7.802446773192811e-05,9.302063547914945e-05,2.2723804049455762e-05,0.00011874982249742437,16,-0.3458882411665936,-0.33541132303524124,-0.4543184529012218,-0.23974161752567008,16,-0.34687411014086267,-0.33693602126172423,-0.45605540997601374,-0.2408034963695413
CBBT,5,batch,excess,temporal,16,0.00047181346053548623,0.0005184330802876502,0.00014507438754662871,0.0008454063790850341,16,5.878505090447818e-07,6.700310878002142e-07,1.7525361854100323e-07,9.310851096520583e-07,16,0.00018329785381725238,0.0002179890074682009,4.958067273506109e-05,0.00028654980767682357,16,9.14721685683892e-05,0.0001087706877018738,2.481098726194644e-05,0.00014294265645788164,16,-0.38207090846186464,-0.37707487114631544,-0.4730355632635599,-0.305629658201973,16,-0.38380321417158897,-0.3794249081960853,-0.4758054181955065,-0.30778199053219174
CBBT,5,batch,gate,excess,16,0.004690783025580458,0.004476003814488649,0.0031869332306087017,0.007144229952245951,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0,,,,,0,,,,
CBBT,5,batch,gate,full,16,0.004690783025580458,0.004476003814488649,0.0031869332306087017,0.007144229952245951,16,0.0076919637234669925,0.007034603010415308,0.004036563814928589,0.01371791368632494,16,0.03913602092255745,0.03813026779677782,0.0164098446575451,0.07378704294130513,16,0.01942668121708338,0.018931768285391577,0.008182884250944213,0.0364963112359736,16,-0.0996503668932906,-0.10380964889057416,-0.14384627845476627,-0.05795824898162022,16,-0.08965089834295958,-0.09172291536281138,-0.12550659120398697,-0.052063143820085825
CBBT,5,batch,gate,shared,16,0.004690783025580458,0.004476003814488649,0.0031869332306087017,0.007144229952245951,16,0.0026730402500659044,0.002455948788025252,0.0015111855418186747,0.004579048295416054,16,0.01676799446106406,0.01681562772043886,0.007570328939348209,0.030186945901711632,16,0.008371655482461505,0.008393232214600884,0.0037840537099911344,0.015049330898474298,16,-0.34730894062055817,-0.3699362667750157,-0.5219313089074684,-0.18488998330269008,16,-0.346941205532873,-0.36905760992582315,-0.5212804542152477,-0.18432613478592577
CBBT,5,batch,gate,temporal,16,0.004690783025580458,0.004476003814488649,0.0031869332306087017,0.007144229952245951,16,7.55902663859199e-05,6.853812152522883e-05,4.226691634183408e-05,0.00012997703615487446,16,0.023444873921341196,0.023214486004732228,0.01042253546703805,0.03992907620700705,16,0.011702130378597624,0.011574561836830677,0.005208965675489376,0.019927244357752286,16,-0.3501394289404992,-0.35770774452222964,-0.4521497825763745,-0.2678304974395051,16,-0.35044494326244396,-0.35833042202227827,-0.45228355401987425,-0.26814647006751435
CBBT,5,batch,tail,excess,16,0.041690043872222304,0.04495115019381046,0.022720225155353546,0.06880133599042892,16,0.0004332844331411895,0.00043836887423845785,0.0002630276434327588,0.0006729000445833535,16,4.8023429525268995,4.699300030126602,2.442008641482764,8.261916564811315,16,0.7945839473256318,0.6688238306677448,0.5179095615677628,2.159919171512051,16,-0.8621482943463239,-0.8676713509332876,-0.9065078550961688,-0.79124018535561,16,0.9872485344159476,0.995195061915505,0.9051387078353076,0.9984489140744511
CBBT,5,batch,tail,full,16,0.041690043872222304,0.04495115019381046,0.022720225155353546,0.06880133599042892,16,0.26153639881979884,0.2612116491811254,0.16400481427901664,0.4134150143572387,16,1.3284797336785803,1.413842240103508,0.7026233580185792,2.284751181446108,16,0.6594709631356583,0.7014422244028864,0.35036807054917524,1.1300763235781819,16,-0.6365114219010468,-0.6422507233283787,-0.7150819214230499,-0.5515511293697468,16,-0.6438742453929589,-0.6483009688988374,-0.7228194500595413,-0.5637015547763112
CBBT,5,batch,tail,shared,16,0.041690043872222304,0.04495115019381046,0.022720225155353546,0.06880133599042892,16,0.10746426713556653,0.10738060183938035,0.06398854594861567,0.18712084259843995,16,0.6760794910311101,0.7036471748793611,0.3565352050708041,1.2671549837088176,16,0.3375203269632933,0.3512760548384273,0.17821528975817336,0.6317245444960209,16,-0.5981378983739061,-0.6031416806282394,-0.7102367760439711,-0.478378569913868,16,-0.6000869258284478,-0.6051466349006002,-0.7102754489931256,-0.48189774954700704
