station,epoch,unit,unit_id,windows,events,tails,component,group,loss,grad_norm,base_grad_norm,dual_base_grad_norm,ratio_base,ratio_dual_base,cosine_base,cosine_dual_base
Boston,50,batch,9,256,22,22,excess,temporal,0.000183427517185919,4.592026983837482e-05,0.0002926883794087472,0.0007471262539011504,0.15689133245104317,0.06146253005914361,0.6491673798993376,0.7323947421378897
Boston,50,batch,9,256,22,22,gate,temporal,0.0013601247919723392,0.000325033406742219,0.0002926883794087472,0.0007471262539011504,1.1105101179582573,0.43504482012918666,0.9008811411375498,0.9459897262494836
Boston,50,batch,9,256,22,22,amp_true,temporal,0.009567459113895893,0.001934326340029459,0.0002926883794087472,0.0007471262539011504,6.608825208356223,2.5890220426993356,0.6513057605342994,0.7345457016083439
Boston,50,batch,9,256,22,22,dual_base,temporal,0.003357215551659465,0.0007471262539011504,0.0002926883794087472,0.0007471262539011504,2.5526338128298853,1.0,0.9928965565891493,1.0
Boston,50,batch,9,256,22,22,base,excess,0.0012794958893209696,0.0010238540824649592,0.0010238540824649592,0.002786168564615318,1.0,0.36747743674522476,0.9999999999999998,0.9994392759848275
Boston,50,batch,9,256,22,22,tail,excess,0.0070035215467214584,0.02047607021559142,0.0010238540824649592,0.002786168564615318,19.999012131000807,7.349185715336832,0.999993594231337,0.9994789310147526
Boston,50,batch,9,256,22,22,body,excess,0.0010308022610843182,0.0,0.0010238540824649592,0.002786168564615318,0.0,0.0,,
Boston,50,batch,9,256,22,22,excess,excess,0.000183427517185919,0.0008822773605888889,0.0010238540824649592,0.002786168564615318,0.8617217782291593,0.3166633102511885,0.998594609163819,0.9998054722531606
Boston,50,batch,9,256,22,22,gate,excess,0.0013601247919723392,0.0,0.0010238540824649592,0.002786168564615318,0.0,0.0,,
Boston,50,batch,9,256,22,22,amp_true,excess,0.009567459113895893,0.037969138215510574,0.0010238540824649592,0.002786168564615318,37.084520993556765,13.627724717636715,0.9939427851789403,0.9947331596416933
Boston,50,batch,9,256,22,22,dual_base,excess,0.003357215551659465,0.002786168564615318,0.0010238540824649592,0.002786168564615318,2.7212555112419285,1.0,0.9994392759848275,1.0
Boston,50,batch,9,256,22,22,base,full,0.0012794958893209696,0.019416217346412478,0.019416217346412478,0.050595188905129755,1.0,0.38375619829821217,1.0000000000000002,0.9737190758321334
Boston,50,batch,9,256,22,22,tail,full,0.0070035215467214584,0.1648496758273348,0.019416217346412478,0.050595188905129755,8.490308533644118,3.258208525250135,0.7468613333263603,0.8426395577625294
Boston,50,batch,9,256,22,22,body,full,0.0010308022610843182,0.01643298830571266,0.019416217346412478,0.050595188905129755,0.8463537471035248,0.3247934964038952,0.96417651897119,0.8995705582030791
Boston,50,batch,9,256,22,22,excess,full,0.000183427517185919,0.0038058986268335484,0.019416217346412478,0.050595188905129755,0.19601648245541306,0.07522254011087752,0.5688811772061684,0.6674567169741699
Boston,50,batch,9,256,22,22,gate,full,0.0013601247919723392,0.0288644259586532,0.019416217346412478,0.050595188905129755,1.4866142793764339,0.5704974441893366,0.6701499042060998,0.819171297966039
Boston,50,batch,9,256,22,22,amp_true,full,0.009567459113895893,0.15614935522946058,0.019416217346412478,0.050595188905129755,8.042212983277723,3.0862490803671823,0.5855272371323823,0.7019630040555311
Boston,50,batch,9,256,22,22,dual_base,full,0.003357215551659465,0.050595188905129755,0.019416217346412478,0.050595188905129755,2.6058211031758045,1.0,0.9737190758321334,0.9999999999999997
Boston,50,batch,10,256,7,7,base,shared,0.0009182326029986143,0.010385631265582269,0.010385631265582269,0.02021599611588915,1.0,0.5137333429451683,1.0000000000000002,0.9875227911797086
Boston,50,batch,10,256,7,7,tail,shared,0.0013807661598548293,0.027208990481991095,0.010385631265582269,0.02021599611588915,2.6198687192141157,1.345913915199344,0.6522996579811786,0.6366579082263115
Boston,50,batch,10,256,7,7,body,shared,0.0008811959996819496,0.010163154278045768,0.010385631265582269,0.02021599611588915,0.978578385670808,0.5027283454045504,0.999177171246422,0.9854582213090224
Boston,50,batch,10,256,7,7,excess,shared,1.8219110643258318e-05,0.00022512099911058345,0.010385631265582269,0.02021599611588915,0.021676197946351995,0.011135785633320601,0.4655172250033249,0.44589404756893214
Boston,50,batch,10,256,7,7,gate,shared,0.0008284153300337493,0.006813285012562954,0.010385631265582269,0.02021599611588915,0.6560299358154584,0.3370244519985796,-0.23202899928244494,-0.07626415017102744
Boston,50,batch,10,256,7,7,amp_true,shared,0.001241064048372209,0.021430932933965943,0.010385631265582269,0.02021599611588915,2.063517602920059,1.060097796374322,0.4435037295887138,0.4347429739379277
Boston,50,batch,10,256,7,7,dual_base,shared,0.0022500744089484215,0.02021599611588915,0.010385631265582269,0.02021599611588915,1.9465351309827907,1.0,0.9875227911797086,1.0
Boston,50,batch,10,256,7,7,base,temporal,0.0009182326029986143,0.00018446600322894588,0.00018446600322894588,0.0003532098415734846,1.0,0.5222561251611334,0.9999999999999996,0.9994977881809008
Boston,50,batch,10,256,7,7,tail,temporal,0.0013807661598548293,0.00035810365363423666,0.00018446600322894588,0.0003532098415734846,1.941298924278119,1.0138552539729668,0.8245818678476654,0.8068444164283735
Boston,50,batch,10,256,7,7,body,temporal,0.0008811959996819496,0.00018148277440796395,0.00018446600322894588,0.0003532098415734846,0.983827758130156,0.5138100727870201,0.9998553352696056,0.9998779730129846
Boston,50,batch,10,256,7,7,excess,temporal,1.8219110643258318e-05,2.597990847641026e-06,0.00018446600322894588,0.0003532098415734846,0.014083846357404879,0.007355375025983015,0.6893274535717867,0.6668364214331283
Boston,50,batch,10,256,7,7,gate,temporal,0.0008284153300337493,4.114582020763914e-05,0.00018446600322894588,0.0003532098415734846,0.2230536764900355,0.11649114878663094,-0.8152996261076897,-0.7966086736080217
Boston,50,batch,10,256,7,7,amp_true,temporal,0.001241064048372209,0.00032204441577526145,0.00018446600322894588,0.0003532098415734846,1.7458198808349699,0.911765126194143,0.7097376770847084,0.6878400027792312
Boston,50,batch,10,256,7,7,dual_base,temporal,0.0022500744089484215,0.0003532098415734846,0.00018446600322894588,0.0003532098415734846,1.9147693091995173,1.0,0.9994977881809008,1.0
Boston,50,batch,10,256,7,7,base,excess,0.0009182326029986143,5.636648177662194e-05,5.636648177662194e-05,0.00013901329178764662,1.0,0.405475484047425,1.0,0.9900899267800424
Boston,50,batch,10,256,7,7,tail,excess,0.0013807661598548293,0.0011238324694066674,5.636648177662194e-05,0.00013901329178764662,19.937956636363598,8.0843526180461,0.9994605109331207,0.9907639058892448
Boston,50,batch,10,256,7,7,body,excess,0.0008811959996819496,0.0,5.636648177662194e-05,0.00013901329178764662,0.0,0.0,,
Boston,50,batch,10,256,7,7,excess,excess,1.8219110643258318e-05,4.1837166247256365e-05,5.636648177662194e-05,0.00013901329178764662,0.7422348340465055,0.300958028611867,0.9722423829913219,0.9954600708500198
Boston,50,batch,10,256,7,7,gate,excess,0.0008284153300337493,0.0,5.636648177662194e-05,0.00013901329178764662,0.0,0.0,,
Boston,50,batch,10,256,7,7,amp_true,excess,0.001241064048372209,0.00472717842929676,5.636648177662194e-05,0.00013901329178764662,83.86506094225243,34.0052261802266,0.9798241886428698,0.9837772129090108
Boston,50,batch,10,256,7,7,dual_base,excess,0.0022500744089484215,0.00013901329178764662,5.636648177662194e-05,0.00013901329178764662,2.466240350755802,1.0,0.9900899267800424,1.0
Boston,50,batch,10,256,7,7,base,full,0.0009182326029986143,0.012091891428554746,0.012091891428554746,0.023730110454152412,1.0,0.509559003187819,1.0000000000000004,0.9905551455665605
Boston,50,batch,10,256,7,7,tail,full,0.0013807661598548293,0.02841211553793615,0.012091891428554746,0.023730110454152412,2.3496833151215317,1.1973022878603776,0.6530644877846129,0.6382192030766827
Boston,50,batch,10,256,7,7,body,full,0.0008811959996819496,0.011920686452888326,0.012091891428554746,0.023730110454152412,0.9858413403165263,0.5023443306730325,0.9993056065676926,0.9892375558512858
Boston,50,batch,10,256,7,7,excess,full,1.8219110643258318e-05,0.0002289755723219136,0.012091891428554746,0.023730110454152412,0.018936290792455564,0.009649157460278333,0.39392647818120025,0.3745339464657422
Boston,50,batch,10,256,7,7,gate,full,0.0008284153300337493,0.0068811194760532175,0.012091891428554746,0.023730110454152412,0.5690689100799896,0.2899741865655381,-0.1976341773974922,-0.061662982892380834
Boston,50,batch,10,256,7,7,amp_true,full,0.001241064048372209,0.02194609537759632,0.012091891428554746,0.023730110454152412,1.8149431383225192,0.9248206164061948,0.3729639670701663,0.3629107666604241
Boston,50,batch,10,256,7,7,dual_base,full,0.0022500744089484215,0.023730110454152412,0.012091891428554746,0.023730110454152412,1.9624812705574133,1.0,0.9905551455665605,1.0
Boston,50,batch,11,256,14,14,base,shared,0.0009582272614352405,0.011856305903271207,0.011856305903271207,0.024317362793457833,1.0,0.48756544876901464,0.9999999999999998,0.9961551490643726
Boston,50,batch,11,256,14,14,tail,shared,0.002691559959203005,0.053705069537849384,0.011856305903271207,0.024317362793457833,4.529662946958202,2.208507147506053,0.5375448634070671,0.5726688819306551
Boston,50,batch,11,256,14,14,body,shared,0.0008709846879355609,0.011196417400407416,0.011856305903271207,0.024317362793457833,0.9443428241268872,0.4604289328372244,0.9904628735085644,0.9792321479228795
Boston,50,batch,11,256,14,14,excess,shared,6.367034802678972e-05,0.0010818440438023296,0.011856305903271207,0.024317362793457833,0.09124629987016816,0.044488543144710624,0.2376710412650996,0.2793143494652232
Boston,50,batch,11,256,14,14,gate,shared,0.000432080210885033,0.004836781617801115,0.011856305903271207,0.024317362793457833,0.4079501370208933,0.19890239163197285,0.31528679257363335,0.38755287019478835
Boston,50,batch,11,256,14,14,amp_true,shared,0.002931470749899745,0.08778478283257982,0.011856305903271207,0.024317362793457833,7.4040585279062014,3.6099631188706365,0.4017243728955123,0.45025877984025625
Boston,50,batch,11,256,14,14,dual_base,shared,0.002172592794522643,0.024317362793457833,0.011856305903271207,0.024317362793457833,2.0510066956646726,1.0,0.9961551490643726,1.0000000000000002
Boston,50,batch,11,256,14,14,base,temporal,0.0009582272614352405,0.00021079650516377013,0.00021079650516377013,0.0004315658849032044,1.0,0.4884457102327482,1.0,0.9991065435012303
Boston,50,batch,11,256,14,14,tail,temporal,0.002691559959203005,0.0006516629319860225,0.00021079650516377013,0.0004315658849032044,3.0914313853530846,1.5099963986545961,0.5786686107838633,0.61237304168797
Boston,50,batch,11,256,14,14,body,temporal,0.0008709846879355609,0.00020315293435608226,0.00021079650516377013,0.0004315658849032044,0.9637395752754558,0.4707344613248271,0.9964294320534897,0.9920023083667687
Boston,50,batch,11,256,14,14,excess,temporal,6.367034802678972e-05,5.708522977772307e-06,0.00021079650516377013,0.0004315658849032044,0.027080728749925398,0.013227465787877713,0.009352459113988375,0.05069642486323093
Boston,50,batch,11,256,14,14,gate,temporal,0.000432080210885033,6.002374859135996e-05,0.00021079650516377013,0.0004315658849032044,0.28474736118004823,0.13908362706848953,0.5945046409427234,0.627855896567523
Boston,50,batch,11,256,14,14,amp_true,temporal,0.002931470749899745,0.0011072020158470627,0.00021079650516377013,0.0004315658849032044,5.2524685596038,2.565545736070858,0.42187705992032426,0.4595378166376307
Boston,50,batch,11,256,14,14,dual_base,temporal,0.002172592794522643,0.0004315658849032044,0.00021079650516377013,0.0004315658849032044,2.0473104360431216,1.0,0.9991065435012303,1.0
Boston,50,batch,11,256,14,14,base,excess,0.0009582272614352405,0.0006063287249624286,0.0006063287249624286,0.0014909065628325464,1.0,0.4066845904886726,1.0,0.9962548550313073
Boston,50,batch,11,256,14,14,tail,excess,0.002691559959203005,0.01212114646304633,0.0006063287249624286,0.0014909065628325464,19.99104770072937,8.130051047610646,0.9999943316396186,0.9961344579499232
Boston,50,batch,11,256,14,14,body,excess,0.0008709846879355609,0.0,0.0006063287249624286,0.0014909065628325464,0.0,0.0,,
Boston,50,batch,11,256,14,14,excess,excess,6.367034802678972e-05,0.0004431350481544599,0.0006063287249624286,0.0014909065628325464,0.7308495044200964,0.29722523141393625,0.9893090820435195,0.9982075207845522
Boston,50,batch,11,256,14,14,gate,excess,0.000432080210885033,0.0,0.0006063287249624286,0.0014909065628325464,0.0,0.0,,
Boston,50,batch,11,256,14,14,amp_true,excess,0.002931470749899745,0.030361153555984025,0.0006063287249624286,0.0014909065628325464,50.073750930842614,20.36422289154152,0.9657048221133041,0.9470312765784319
Boston,50,batch,11,256,14,14,dual_base,excess,0.002172592794522643,0.0014909065628325464,0.0006063287249624286,0.0014909065628325464,2.4589080171402586,1.0,0.9962548550313073,1.0
Boston,50,batch,11,256,14,14,base,full,0.0009582272614352405,0.013133518154700617,0.013133518154700617,0.026818588703191343,1.0,0.48971697579066725,1.0,0.9965416677213497
Boston,50,batch,11,256,14,14,tail,full,0.002691559959203005,0.05629011107737457,0.013133518154700617,0.026818588703191343,4.285988751401526,2.0989214496091733,0.5308150555226535,0.5637898875868143
Boston,50,batch,11,256,14,14,body,full,0.0008709846879355609,0.012507388004207734,0.013133518154700617,0.026818588703191343,0.9523257863492742,0.4663701040584357,0.9910047247564373,0.9808435638045502
Boston,50,batch,11,256,14,14,excess,full,6.367034802678972e-05,0.001169083062067633,0.013133518154700617,0.026818588703191343,0.08901522412326407,0.04359226635697333,0.21585935155237215,0.255399385652584
Boston,50,batch,11,256,14,14,gate,full,0.000432080210885033,0.004974170961363352,0.013133518154700617,0.026818588703191343,0.3787386519569432,0.1854747472513883,0.27772727943485664,0.347220351894771
Boston,50,batch,11,256,14,14,amp_true,full,0.002931470749899745,0.09288685451781237,0.013133518154700617,0.026818588703191343,7.072503606702461,3.463525077542916,0.35730993442974,0.40304891787789593
Boston,50,batch,11,256,14,14,dual_base,full,0.002172592794522643,0.026818588703191343,0.013133518154700617,0.026818588703191343,2.041995784167908,1.0,0.9965416677213497,0.9999999999999999
Boston,50,accum4,2,1024,58,58,base,shared,0.001039561684592627,0.012813591413105745,0.012813591413105745,0.028858892029443358,1.0,0.44400843248010513,1.0,0.9921709883509882
Boston,50,accum4,2,1024,58,58,tail,shared,0.0037924459611531347,0.069356095737884,0.012813591413105745,0.028858892029443358,5.412697619415784,2.4032833854855986,0.7119780741893794,0.7735529891650044
Boston,50,accum4,2,1024,58,58,body,shared,0.0009043509344337508,0.01165321703876568,0.012813591413105745,0.028858892029443358,0.9094419092251347,0.4037998765467661,0.9913361606716603,0.9719204320032486
Boston,50,accum4,2,1024,58,58,excess,shared,9.696091638033977e-05,0.0009326352796152839,0.012813591413105745,0.028858892029443358,0.07278484614870614,0.03231708544679263,0.5686554202207316,0.6345848276117477
Boston,50,accum4,2,1024,58,58,gate,shared,0.0008668683512951247,0.009769536869506738,0.012813591413105745,0.028858892029443358,0.7624354917009804,0.33852778753735047,0.6555868546414934,0.7435057305235991
Boston,50,accum4,2,1024,58,58,amp_true,shared,0.004326375405071303,0.07295015040343121,0.012813591413105745,0.028858892029443358,5.693185310155728,2.527822285381006,0.5535697829993012,0.6116318711268163
Boston,50,accum4,2,1024,58,58,dual_base,shared,0.0025712685892358422,0.028858892029443358,0.012813591413105745,0.028858892029443358,2.2522094781269892,1.0,0.9921709883509882,1.0
Boston,50,accum4,2,1024,58,58,base,temporal,0.001039561684592627,0.00023723708537644285,0.00023723708537644285,0.0005120879913818123,1.0,0.46327406494396606,0.9999999999999999,0.9990682932471894
Boston,50,accum4,2,1024,58,58,tail,temporal,0.0037924459611531347,0.0009656356943787048,0.00023723708537644285,0.0005120879913818123,4.070340405870584,1.885683145533338,0.7785914296890479,0.8041462089865119
Boston,50,accum4,2,1024,58,58,body,temporal,0.0009043509344337508,0.00021920039937273534,0.00023723708537644285,0.0005120879913818123,0.9239718951398881,0.42805221575543595,0.9966507892393695,0.9922796692047021
Boston,50,accum4,2,1024,58,58,excess,temporal,9.696091638033977e-05,1.0287760453562195e-05,0.00023723708537644285,0.0005120879913818123,0.0433648914428273,0.02008982953457241,0.7643869297336441,0.7909375567045563
Boston,50,accum4,2,1024,58,58,gate,temporal,0.0008668683512951247,9.623795901894268e-05,0.00023723708537644285,0.0005120879913818123,0.4056615299679403,0.1879324659796362,0.8321278020909382,0.8551721705634926
Boston,50,accum4,2,1024,58,58,amp_true,temporal,0.004326375405071303,0.0010077885195514899,0.00023723708537644285,0.0005120879913818123,4.248022681413204,1.9679987355924613,0.5904149029376361,0.6234317065503044
Boston,50,accum4,2,1024,58,58,dual_base,temporal,0.0025712685892358422,0.0005120879913818123,0.00023723708537644285,0.0005120879913818123,2.1585494973066366,1.0,0.9990682932471894,0.9999999999999998
Boston,50,accum4,2,1024,58,58,base,excess,0.001039561684592627,0.0002085899219285024,0.0002085899219285024,0.00043706702526570996,1.0,0.47724927727433225,1.0000000000000002,0.9618251951801972
Boston,50,accum4,2,1024,58,58,tail,excess,0.0037924459611531347,0.004172393233790371,0.0002085899219285024,0.00043706702526570996,20.002851505071884,9.546346424221346,0.9999835754082131,0.9619300405463761
Boston,50,accum4,2,1024,58,58,body,excess,0.0009043509344337508,0.0,0.0002085899219285024,0.00043706702526570996,0.0,0.0,,
Boston,50,accum4,2,1024,58,58,excess,excess,9.696091638033977e-05,0.00012171846767513388,0.0002085899219285024,0.00043706702526570996,0.5835299546104383,0.2784892491057556,0.8677126219489707,0.970583731110662
Boston,50,accum4,2,1024,58,58,gate,excess,0.0008668683512951247,0.0,0.0002085899219285024,0.00043706702526570996,0.0,0.0,,
Boston,50,accum4,2,1024,58,58,amp_true,excess,0.004326375405071303,0.01828528105521572,0.0002085899219285024,0.00043706702526570996,87.66138309157286,41.836331725321514,0.8297690499751115,0.6551772701760508
Boston,50,accum4,2,1024,58,58,dual_base,excess,0.0025712685892358422,0.00043706702526570996,0.0002085899219285024,0.00043706702526570996,2.095341046321125,1.0,0.9618251951801972,1.0
Boston,50,accum4,2,1024,58,58,base,full,0.001039561684592627,0.014461298858857266,0.014461298858857266,0.03177712042541192,1.0,0.455085252069998,1.0,0.9922262659476339
Boston,50,accum4,2,1024,58,58,tail,full,0.0037924459611531347,0.0721770769176813,0.014461298858857266,0.03177712042541192,4.9910507778126885,2.271353601315047,0.7025944835372014,0.7615019722636125
Boston,50,accum4,2,1024,58,58,body,full,0.0009043509344337508,0.0133804571775322,0.014461298858857266,0.03177712042541192,0.9252597092505926,0.42107204801451903,0.9926269149713959,0.9740083642553043
Boston,50,accum4,2,1024,58,58,excess,full,9.696091638033977e-05,0.0009405444966381235,0.014461298858857266,0.03177712042541192,0.06503872894252913,0.02959816635512314,0.501245965144449,0.5731895152709009
Boston,50,accum4,2,1024,58,58,gate,full,0.0008668683512951247,0.009859576893581093,0.014461298858857266,0.03177712042541192,0.6817905493697956,0.31027282401889583,0.576201374979814,0.6721630013822198
Boston,50,accum4,2,1024,58,58,amp_true,full,0.004326375405071303,0.07520688763106385,0.014461298858857266,0.03177712042541192,5.200562436686044,2.3666992674050316,0.4786881425475305,0.5409862671512431
Boston,50,accum4,2,1024,58,58,dual_base,full,0.0025712685892358422,0.03177712042541192,0.014461298858857266,0.03177712042541192,2.19739047892984,1.0,0.9922262659476339,1.0
Boston,50,batch,12,256,8,8,base,shared,0.0008678729645907879,0.008655682966319512,0.008655682966319512,0.017402047385678965,1.0,0.4973945176958153,1.0,0.992598079313132
Boston,50,batch,12,256,8,8,tail,shared,0.0010234860237687826,0.04257014281969785,0.008655682966319512,0.017402047385678965,4.918172602363592,2.4462720894974117,0.4598971343310748,0.5136921045270192
Boston,50,batch,12,256,8,8,body,shared,0.0008284552022814751,0.00813841714746057,0.008655682966319512,0.017402047385678965,0.9402397452781374,0.46767009462105535,0.9798506382303225,0.9603431970881019
Boston,50,batch,12,256,8,8,excess,shared,3.537765587680042e-05,0.001342789316184974,0.008655682966319512,0.017402047385678965,0.15513383766595398,0.07716272036415808,0.382249831209553,0.4351715906788203
Boston,50,batch,12,256,8,8,gate,shared,0.00040895064012147486,0.0037876938165528696,0.008655682966319512,0.017402047385678965,0.4375961817561159,0.21765794177011358,-0.20118908293782603,-0.09104327432635416
Boston,50,batch,12,256,8,8,amp_true,shared,0.0013087621191516519,0.052745415535887546,0.008655682966319512,0.017402047385678965,6.093732376882035,3.0309890765666143,0.3963405491791712,0.4478273369943045
Boston,50,batch,12,256,8,8,dual_base,shared,0.001971558667719364,0.017402047385678965,0.008655682966319512,0.017402047385678965,2.0104765220021106,1.0,0.992598079313132,1.0
Boston,50,batch,12,256,8,8,base,temporal,0.0008678729645907879,0.00015395436778248696,0.00015395436778248696,0.0003101698355632426,1.0,0.4963550614227803,1.0,0.9993788619703693
Boston,50,batch,12,256,8,8,tail,temporal,0.0010234860237687826,0.0006864073913856543,0.00015395436778248696,0.0003101698355632426,4.4585119686596935,2.213004982058283,0.5553639494939059,0.5841419685026817
Boston,50,batch,12,256,8,8,body,temporal,0.0008284552022814751,0.00014273914338745451,0.00015395436778248696,0.0003101698355632426,0.9271522818314725,0.46019672779673143,0.985371428186086,0.9787944028670666
Boston,50,batch,12,256,8,8,excess,temporal,3.537765587680042e-05,2.1222062866441576e-05,0.00015395436778248696,0.0003101698355632426,0.137846448737492,0.06842078253000997,0.47528888022348265,0.5058185751751051
Boston,50,batch,12,256,8,8,gate,temporal,0.00040895064012147486,1.0684800532003535e-05,0.00015395436778248696,0.0003101698355632426,0.06940238647272066,0.0344482258005548,-0.9031472915040579,-0.915865448306019
