station,epoch,unit,component,group,weight,weighted_loss_n,weighted_loss_mean,weighted_loss_median,weighted_loss_min,weighted_loss_max,weighted_grad_norm_n,weighted_grad_norm_mean,weighted_grad_norm_median,weighted_grad_norm_min,weighted_grad_norm_max,weighted_ratio_base_n,weighted_ratio_base_mean,weighted_ratio_base_median,weighted_ratio_base_min,weighted_ratio_base_max,weighted_ratio_dual_base_n,weighted_ratio_dual_base_mean,weighted_ratio_dual_base_median,weighted_ratio_dual_base_min,weighted_ratio_dual_base_max
Battery,50,accum4,gate,excess,0.5,4,0.0006309552245511441,0.0006552118720719591,0.0005076367742731236,0.0007057603797875345,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0
Battery,50,accum4,gate,full,0.5,4,0.0006309552245511441,0.0006552118720719591,0.0005076367742731236,0.0007057603797875345,4,0.006348765919518846,0.00504025697624526,0.004076895390332696,0.011237654335252168,4,0.2634879322807749,0.2072831488019076,0.15179073449674194,0.4875946970225423,4,0.12136857216852702,0.09962748414158838,0.07295999993399085,0.21325932045694043
Battery,50,accum4,gate,shared,0.5,4,0.0006309552245511441,0.0006552118720719591,0.0005076367742731236,0.0007057603797875345,4,0.0062946675868520785,0.00501713674184038,0.004016488068557628,0.011127908795169924,4,0.2945599068046987,0.2320844555392304,0.17700351804780484,0.537067198092529,4,0.13344903736498404,0.11047921968720527,0.08416215890410264,0.22867555118142302
Battery,50,accum4,gate,temporal,0.5,4,0.0006309552245511441,0.0006552118720719591,0.0005076367742731236,0.0007057603797875345,4,3.538815246462003e-05,2.964559511817221e-05,1.0582148426792627e-05,7.167927119534308e-05,4,0.17431578634456985,0.1476719397924713,0.04673353309853688,0.35518573269479997,4,0.08010483243314072,0.0705708148723173,0.02294673452965747,0.1563309654582708
Battery,50,accum4,tail,excess,0.01,4,4.0239731752080844e-05,3.791493450989947e-05,3.4069373505190015e-05,5.1059684483334426e-05,4,9.951489452915944e-05,5.351829048106966e-05,2.334162130785226e-05,0.00026768137584664615,4,0.19653548462640175,0.19490285722014,0.16810909947905148,0.22822712458627548,4,0.07568051648879762,0.05909462062968256,0.0477538161997666,0.13677900849605876
Battery,50,accum4,tail,excess,0.025,4,0.00010059932938020211,9.478733627474867e-05,8.517343376297505e-05,0.00012764921120833606,4,0.0002487872363228986,0.00013379572620267414,5.835405326963065e-05,0.0006692034396166154,4,0.4913387115660044,0.48725714305035006,0.42027274869762876,0.5705678114656887,4,0.18920129122199403,0.1477365515742064,0.11938454049941649,0.3419475212401469
Battery,50,accum4,tail,excess,0.05,4,0.00020119865876040423,0.00018957467254949735,0.0001703468675259501,0.0002552984224166721,4,0.0004975744726457972,0.0002675914524053483,0.0001167081065392613,0.0013384068792332308,4,0.9826774231320088,0.9745142861007001,0.8405454973952575,1.1411356229313774,4,0.37840258244398806,0.2954731031484128,0.23876908099883298,0.6838950424802938
Battery,50,accum4,tail,excess,0.1,4,0.00040239731752080845,0.0003791493450989947,0.0003406937350519002,0.0005105968448333442,4,0.0009951489452915943,0.0005351829048106966,0.0002334162130785226,0.0026768137584664616,4,1.9653548462640176,1.9490285722014002,1.681090994790515,2.2822712458627548,4,0.7568051648879761,0.5909462062968256,0.47753816199766597,1.3677900849605875
Battery,50,accum4,tail,full,0.01,4,4.0239731752080844e-05,3.791493450989947e-05,3.4069373505190015e-05,5.1059684483334426e-05,4,0.00042186488989589144,0.00042845438453799806,0.00016277542858844215,0.0006677753619191274,4,0.01692383289331394,0.018286567400269862,0.006564069716758225,0.024558127055957803,4,0.007927760631889502,0.008346070533370036,0.0032147491565145438,0.01180415230430339
Battery,50,accum4,tail,full,0.025,4,0.00010059932938020211,9.478733627474867e-05,8.517343376297505e-05,0.00012764921120833606,4,0.0010546622247397286,0.0010711359613449953,0.0004069385714711054,0.0016694384047978184,4,0.04230958223328485,0.04571641850067466,0.016410174291895563,0.06139531763989451,4,0.019819401579723752,0.020865176333425085,0.00803687289128636,0.029510380760758476
