path,status,original_sha256,current_sha256,original_lines,current_lines
configs/configs_train_single/NCEP/train_config_NCEP_Boston_Baseline_12h.sh,unchanged,a16ecaea2a03dfb18b1ebb2ffd6ab7555fa4a6a2cdd4ac1198f3507e80a261f5,a16ecaea2a03dfb18b1ebb2ffd6ab7555fa4a6a2cdd4ac1198f3507e80a261f5,8,8
configs/configs_train_single/NCEP/train_config_NCEP_Boston_P3_Base.sh,unchanged,e6d3aea51a9238c194a8bf2b7268cc1881f32d63ffc46c8a81506b0901c8433a,e6d3aea51a9238c194a8bf2b7268cc1881f32d63ffc46c8a81506b0901c8433a,8,8
configs/configs_train_single/NCEP/train_config_NCEP_Boston_P3_Best.sh,unchanged,1857aaf8fcf6b4054c73e13d130ba11faf04882e97df1594e60087ee923ad82e,1857aaf8fcf6b4054c73e13d130ba11faf04882e97df1594e60087ee923ad82e,9,9
configs/configs_train_single/NCEP/train_config_NCEP_CBBT_Baseline_0h.sh,unchanged,967636474c7e92a0a7d6b38dfde32ff5904750e1f9451be22ed2e39e383da745,967636474c7e92a0a7d6b38dfde32ff5904750e1f9451be22ed2e39e383da745,8,8
configs/configs_train_single/NCEP/train_config_NCEP_CBBT_Baseline_12h.sh,unchanged,347a096906bb9b7130aae718e815a6fe5716f934f533a4bfdd28cd87b2e7e8b5,347a096906bb9b7130aae718e815a6fe5716f934f533a4bfdd28cd87b2e7e8b5,8,8
configs/configs_train_single/NCEP/train_config_NCEP_CBBT_P3_Base.sh,unchanged,397af394dfe89fa8e3d79be2c2c9be63807703cf652395d9205283a9a8e559cf,397af394dfe89fa8e3d79be2c2c9be63807703cf652395d9205283a9a8e559cf,8,8
configs/configs_train_single/NCEP/train_config_NCEP_CBBT_P3_Best.sh,unchanged,06c1d4bec44005d46df67b3bd671dc7756de0603639755e8f7a8770290df564f,06c1d4bec44005d46df67b3bd671dc7756de0603639755e8f7a8770290df564f,9,9
configs/configs_train_single/NCEP/train_config_NCEP_Lewes_Baseline_0h.sh,unchanged,d2da8f06b1435bcc4c448f8da774977ab2868c3d24d597b54da032801f5c6482,d2da8f06b1435bcc4c448f8da774977ab2868c3d24d597b54da032801f5c6482,8,8
configs/configs_train_single/NCEP/train_config_NCEP_Lewes_Baseline_12h.sh,unchanged,0acec06181a1943db2cc4af40fdc1cb4ec5670b3450ddfcf298379c8f9f9e4c3,0acec06181a1943db2cc4af40fdc1cb4ec5670b3450ddfcf298379c8f9f9e4c3,8,8
configs/configs_train_single/NCEP/train_config_NCEP_Lewes_P3_Base.sh,unchanged,7749d74f8ccfe5509fbf0af9f48e11813bbf3a59408659a96866605257aad987,7749d74f8ccfe5509fbf0af9f48e11813bbf3a59408659a96866605257aad987,8,8
